,From,To,Time,Distance,Avg Speed,Altitude From,Altitude To,Slope,Slope %,Slope Angle,Bus Stop,Final Stop,Zone Type
0,"(53.50443072347926, 18.775152184674265)","(53.50235035273355, 18.775391269401453)",43.6,241.3,5.534403669724771,37,31,-0.0248653128885205,-2.486531288852051,-0.0248601901821683,1,0,0
1,"(53.50235035273355, 18.775391269401453)","(53.500725, 18.776312)",37.0,196.8,5.31891891891892,31,23,-0.040650406504065,-4.065040650406504,-0.0406280376813731,1,0,0
2,"(53.500725, 18.776312)","(53.49807254405641, 18.777627533574577)",55.599999999999994,307.4,5.528776978417266,23,22,-0.0032530904359141,-0.3253090435914119,-0.0032530789606048,0,0,0
3,"(53.49807254405641, 18.777627533574577)","(53.496657, 18.77838)",30.6,169.0,5.522875816993464,22,21,-0.0059171597633136,-0.591715976331361,-0.0059170907060273,1,0,0
4,"(53.496657, 18.77838)","(53.495658089248565, 18.772671029533495)",70.8,393.2,5.553672316384181,21,21,0.0,0.0,0.0,0,0,0
5,"(53.495658089248565, 18.772671029533495)","(53.494862, 18.769775)",49.2,213.1,4.33130081300813,21,20,-0.00469263256687,-0.4692632566870014,-0.00469259812215,1,0,0
6,"(53.494862, 18.769775)","(53.49476236330937, 18.76655399130348)",49.6,212.7,4.288306451612903,20,22,0.0094029149036201,0.9402914903620124,0.0094026377993459,0,0,0
7,"(53.49476236330937, 18.76655399130348)","(53.494209, 18.763899)",33.8,187.1,5.535502958579882,22,23,0.0053447354355959,0.5344735435595939,0.0053446845435466,1,0,0
8,"(53.494209, 18.763899)","(53.49339656336053, 18.761984728801117)",28.000000000000004,155.1,5.539285714285714,23,23,0.0,0.0,0.0,0,0,0
9,"(53.49339656336053, 18.761984728801117)","(53.49295572754373, 18.75870268027482)",65.6,320.6,4.88719512195122,23,25,0.0062383031815346,0.6238303181534622,0.0062382222592682,1,0,0
10,"(53.49295572754373, 18.75870268027482)","(53.49142013855873, 18.753146709117917)",132.8,573.7,4.320030120481928,25,28,0.0052292138748474,0.522921387484748,0.0052291662119067,1,0,0
11,"(53.49142013855873, 18.753146709117917)","(53.48866675471791, 18.751712343766652)",86.6,364.5,4.209006928406467,28,23,-0.0137174211248285,-1.3717421124828533,-0.0137165608303569,1,0,0
12,"(53.48866675471791, 18.751712343766652)","(53.48714676357741, 18.75486662163871)",60.8,318.3,5.235197368421053,23,21,-0.0062833804586867,-0.6283380458686774,-0.0062832977695365,1,0,0
13,"(53.48714676357741, 18.75486662163871)","(53.478775926640076, 18.75544785470202)",177.20000000000002,961.3,5.424943566591422,21,23,0.00208051596796,0.2080515967960054,0.0020805129660976,1,0,0
14,"(53.478775926640076, 18.75544785470202)","(53.476730455920766, 18.75661837159732)",45.2,250.5,5.542035398230088,23,25,0.0079840319361277,0.7984031936127743,0.0079838622958668,1,0,0
15,"(53.476730455920766, 18.75661837159732)","(53.46683467208045, 18.76398162085815)",233.80000000000004,1209.1,5.171514114627886,25,22,-0.0024811843519973,-0.2481184351997353,-0.0024811792603977,1,0,0
16,"(53.46683467208045, 18.76398162085815)","(53.46631444278564, 18.76818507325674)",64.6,350.4,5.424148606811146,22,23,0.0028538812785388,0.2853881278538813,0.002853873530633,1,0,0
17,"(53.46631444278564, 18.76818507325674)","(53.46470678612434, 18.771094727415104)",91.4,348.1,3.8085339168490155,23,23,0.0,0.0,0.0,1,0,0
18,"(53.46470678612434, 18.771094727415104)","(53.46147504103367, 18.77563931251242)",140.6,468.4,3.3314366998577523,23,24,0.0021349274124679,0.2134927412467976,0.0021349241688709,1,0,0
19,"(53.46147504103367, 18.77563931251242)","(53.460227, 18.774688)",67.0,216.5,3.2313432835820897,24,22,-0.0092378752886836,-0.9237875288683602,-0.009237612520491,1,0,0
20,"(53.460227, 18.774688)","(53.45934073769062, 18.775076744615216)",35.0,169.4,4.84,22,19,-0.0177095631641086,-1.7709563164108617,-0.0177077121037607,0,0,0
21,"(53.45934073769062, 18.775076744615216)","(53.457445131573266, 18.781929185087613)",89.99999999999999,501.6,5.573333333333334,19,19,0.0,0.0,0.0,1,0,0
22,"(53.457445131573266, 18.781929185087613)","(53.4527650427964, 18.784918633242867)",201.2,690.0,3.429423459244533,19,27,0.0115942028985507,1.1594202898550725,0.0115936834214502,1,0,0
23,"(53.4527650427964, 18.784918633242867)","(53.453851, 18.784119)",81.6,140.6,1.7230392156862746,27,23,-0.0284495021337126,-2.844950213371266,-0.0284418304281952,1,0,0
24,"(53.453851, 18.784119)","(53.451767, 18.785756)",87.0,277.3,3.1873563218390806,23,29,0.0216372160115398,2.1637216011539846,0.0216338403342856,0,0,0
25,"(53.451767, 18.785756)","(53.450418419224135, 18.78762595543442)",65.0,204.8,3.1507692307692308,29,30,0.0048828125,0.48828125,0.0048827736954478,0,1,0
26,"(53.450418419224135, 18.78762595543442)","(53.453851, 18.784119)",116.0,482.0,4.155172413793103,30,23,-0.0145228215767634,-1.4522821576763485,-0.0145218006918249,1,0,0
27,"(53.453851, 18.784119)","(53.452753700957615, 18.784916910220815)",82.0,141.6,1.726829268292683,23,27,0.0282485875706214,2.824858757062147,0.0282410772047877,0,0,0
28,"(53.452753700957615, 18.784916910220815)","(53.453851, 18.784119)",82.2,141.6,1.7226277372262773,27,23,-0.0282485875706214,-2.824858757062147,-0.0282410772047877,1,0,0
29,"(53.453851, 18.784119)","(53.45563582883922, 18.783157695289027)",65.6,251.4,3.8323170731707323,23,21,-0.0079554494828957,-0.7955449482895784,-0.0079552816579865,0,0,0
30,"(53.45563582883922, 18.783157695289027)","(53.456994, 18.784218)",30.800000000000004,170.9,5.548701298701298,21,22,0.0058513750731421,0.5851375073142189,0.0058513082935695,1,0,0
31,"(53.456994, 18.784218)","(53.457109, 18.784247)",150.60000000000002,322.5,2.141434262948207,22,22,0.0,0.0,0.0,0,0,0
32,"(53.457109, 18.784247)","(53.457513312843425, 18.78254191479079)",22.4,124.1,5.540178571428571,22,23,0.008058017727639,0.8058017727639002,0.0080578433276386,0,0,0
33,"(53.457513312843425, 18.78254191479079)","(53.459449, 18.774906)",99.6,555.5,5.577309236947792,23,22,-0.0018001800180018,-0.18001800180018,-0.0018001780734222,1,0,0
34,"(53.459449, 18.774906)","(53.46084405941081, 18.7760458892938)",55.4,217.5,3.925992779783394,22,21,-0.0045977011494252,-0.4597701149425287,-0.0045976687531222,0,0,0
35,"(53.46084405941081, 18.7760458892938)","(53.46265837578394, 18.774303319614148)",88.4,260.6,2.9479638009049776,21,21,0.0,0.0,0.0,1,0,0
36,"(53.46265837578394, 18.774303319614148)","(53.4645391065275, 18.77145751826289)",84.8,281.6,3.3207547169811327,21,23,0.0071022727272727,0.7102272727272727,0.0071021533126153,1,0,0
37,"(53.4645391065275, 18.77145751826289)","(53.46634145346498, 18.76718621050771)",119.0,443.8,3.7294117647058824,23,23,0.0,0.0,0.0,1,0,0
38,"(53.46634145346498, 18.76718621050771)","(53.466649611332926, 18.764607380763675)",38.4,204.0,5.3125,23,22,-0.0049019607843137,-0.4901960784313725,-0.0049019215214491,1,0,0
39,"(53.466649611332926, 18.764607380763675)","(53.472888, 18.758831)",151.0,793.2,5.252980132450332,22,25,0.0037821482602118,0.37821482602118,0.0037821302262699,1,0,0
40,"(53.472888, 18.758831)","(53.476219561680296, 18.757223821865797)",73.4,386.1,5.260217983651226,25,24,-0.0025900025900025,-0.2590002590002589,-0.0025899967986821,0,0,0
41,"(53.476219561680296, 18.757223821865797)","(53.47767, 18.756443)",30.399999999999995,170.6,5.611842105263158,24,24,0.0,0.0,0.0,1,0,0
42,"(53.47767, 18.756443)","(53.477207, 18.755233)",18.4,105.2,5.717391304347827,24,24,0.0,0.0,0.0,0,0,0
43,"(53.477207, 18.755233)","(53.4766466099667, 18.75339406081288)",24.8,136.6,5.508064516129032,24,24,0.0,0.0,0.0,0,0,0
44,"(53.4766466099667, 18.75339406081288)","(53.474934, 18.747099)",94.60000000000001,467.5,4.941860465116279,24,30,0.0128342245989304,1.2834224598930482,0.0128335199955341,1,0,0
45,"(53.474934, 18.747099)","(53.475565, 18.746008)",56.2,166.7,2.966192170818505,30,27,-0.017996400719856,-1.7996400719856032,-0.0179944582632382,0,0,0
46,"(53.475565, 18.746008)","(53.4787220614879, 18.747616711957942)",70.19999999999999,368.8,5.253561253561254,27,25,-0.0054229934924078,-0.5422993492407809,-0.0054229403319965,0,0,0
