,From,To,Time,Distance,Avg Speed,Altitude From,Altitude To,Slope,Slope %,Slope Angle,Bus Stop,Final Stop,Zone Type
0,"(53.50443072347926, 18.775152184674265)","(53.50235035273355, 18.775391269401453)",21.8,241.3,11.068807339449542,37,31,-0.0248653128885205,-2.486531288852051,-0.0248601901821683,1,0,0
1,"(53.50235035273355, 18.775391269401453)","(53.500725, 18.776312)",18.5,196.8,10.63783783783784,31,23,-0.040650406504065,-4.065040650406504,-0.0406280376813731,1,0,0
2,"(53.500725, 18.776312)","(53.49807254405641, 18.777627533574577)",27.8,307.4,11.057553956834532,23,22,-0.0032530904359141,-0.3253090435914119,-0.0032530789606048,0,0,0
3,"(53.49807254405641, 18.777627533574577)","(53.496657, 18.77838)",15.3,169.0,11.045751633986928,22,21,-0.0059171597633136,-0.591715976331361,-0.0059170907060273,1,0,0
4,"(53.496657, 18.77838)","(53.495658089248565, 18.772671029533495)",35.4,393.2,11.107344632768362,21,21,0.0,0.0,0.0,0,0,0
5,"(53.495658089248565, 18.772671029533495)","(53.494862, 18.769775)",24.6,213.1,8.66260162601626,21,20,-0.00469263256687,-0.4692632566870014,-0.00469259812215,1,0,1
6,"(53.494862, 18.769775)","(53.49476236330937, 18.76655399130348)",24.8,212.7,8.576612903225806,20,22,0.0094029149036201,0.9402914903620124,0.0094026377993459,0,0,0
7,"(53.49476236330937, 18.76655399130348)","(53.494209, 18.763899)",16.9,187.1,11.071005917159765,22,23,0.0053447354355959,0.5344735435595939,0.0053446845435466,1,0,0
8,"(53.494209, 18.763899)","(53.49339656336053, 18.761984728801117)",14.0,155.1,11.078571428571427,23,23,0.0,0.0,0.0,0,0,0
9,"(53.49339656336053, 18.761984728801117)","(53.49295572754373, 18.75870268027482)",32.8,320.6,9.77439024390244,23,25,0.0062383031815346,0.6238303181534622,0.0062382222592682,1,0,0
10,"(53.49295572754373, 18.75870268027482)","(53.49142013855873, 18.753146709117917)",66.4,573.7,8.640060240963855,25,28,0.0052292138748474,0.522921387484748,0.0052291662119067,1,0,0
11,"(53.49142013855873, 18.753146709117917)","(53.48866675471791, 18.751712343766652)",43.3,364.5,8.418013856812934,28,23,-0.0137174211248285,-1.3717421124828533,-0.0137165608303569,1,0,0
12,"(53.48866675471791, 18.751712343766652)","(53.48714676357741, 18.75486662163871)",30.4,318.3,10.470394736842106,23,21,-0.0062833804586867,-0.6283380458686774,-0.0062832977695365,1,0,0
13,"(53.48714676357741, 18.75486662163871)","(53.478775926640076, 18.75544785470202)",88.6,961.3,10.849887133182843,21,23,0.00208051596796,0.2080515967960054,0.0020805129660976,1,0,0
14,"(53.478775926640076, 18.75544785470202)","(53.476730455920766, 18.75661837159732)",22.6,250.5,11.084070796460177,23,25,0.0079840319361277,0.7984031936127743,0.0079838622958668,1,0,0
15,"(53.476730455920766, 18.75661837159732)","(53.46683467208045, 18.76398162085815)",116.9,1209.1,10.343028229255772,25,22,-0.0024811843519973,-0.2481184351997353,-0.0024811792603977,1,0,0
16,"(53.46683467208045, 18.76398162085815)","(53.46631444278564, 18.76818507325674)",32.3,350.4,10.848297213622292,22,23,0.0028538812785388,0.2853881278538813,0.002853873530633,1,0,0
17,"(53.46631444278564, 18.76818507325674)","(53.46470678612434, 18.771094727415104)",45.7,348.1,7.617067833698031,23,23,0.0,0.0,0.0,1,0,0
