,From,To,Time,Distance,Avg Speed,Altitude From,Altitude To,Slope,Slope %,Slope Angle,Bus Stop,Final Stop
0,"(41.44708901024058, 2.2477521195123518)","(41.445626, 2.249721)",39.6,231.5,5.845959595959596,5.765,1.401,-0.01885097124664109,-1.885097124664109,-0.018848738767788892,1,0
1,"(41.445626, 2.249721)","(41.445114749179176, 2.2487049169050413)",16.1,111.9,6.950310559006211,1.401,4.037,0.023556748493320713,2.3556748493320714,0.02355239257011426,0,0
2,"(41.445114749179176, 2.2487049169050413)","(41.442869380485796, 2.247343190807656)",60.2,390.2,6.48172757475083,4.037,3.731,-0.0007842138203396546,-0.07842138203396545,-0.0007842136595781507,1,0
3,"(41.442869380485796, 2.247343190807656)","(41.443755, 2.246565)",16.7,116.1,6.952095808383233,3.731,-0.711,-0.03826011982999107,-3.8260119829991073,-0.03824146735302504,1,0
4,"(41.443755, 2.246565)","(41.44594285014911, 2.244803937458771)",49.6,290.2,5.850806451612903,-0.711,6.574,0.025103376455589625,2.5103376455589625,0.025098105237380736,0,0
5,"(41.44594285014911, 2.244803937458771)","(41.44792407982241, 2.2433456049499902)",40.1,250.4,6.2443890274314215,6.574,9.594,0.012060702799227292,1.2060702799227292,0.012060118064764315,1,0
6,"(41.44792407982241, 2.2433456049499902)","(41.44907888278456, 2.2452204848909982)",44.9,260.7,5.806236080178174,9.594,10.271,0.002596854797761286,0.2596854797761286,0.002596848960354096,1,0
7,"(41.44907888278456, 2.2452204848909982)","(41.450534450628155, 2.245014527919616)",40.0,189.9,4.7475000000000005,10.271,15.671,0.028436016948553307,2.8436016948553307,0.028428356143605223,1,0
8,"(41.450534450628155, 2.245014527919616)","(41.452901037488374, 2.243501274035628)",50.2,292.0,5.816733067729083,15.671,23.984,0.028469177141581495,2.8469177141581494,0.028461489513501557,1,0
9,"(41.452901037488374, 2.243501274035628)","(41.454426, 2.243466)",29.5,214.8,7.2813559322033905,23.984,33.401,0.04384079015010784,4.3840790150107845,0.043812734946165534,1,0
10,"(41.454426, 2.243466)","(41.456463818450636, 2.2429899162688547)",20.7,231.5,11.183574879227054,33.401,44.31,0.047123111864917994,4.7123111864917995,0.04708827793048107,0,0
11,"(41.456463818450636, 2.2429899162688547)","(41.458670382475034, 2.2420503271993906)",27.2,258.6,9.507352941176471,44.31,51.66,0.028422267881365402,2.84222678813654,0.028414618179661705,1,0
12,"(41.458670382475034, 2.2420503271993906)","(41.46172911226626, 2.2410549443084196)",35.5,349.9,9.856338028169013,51.66,66.322,0.04190339739576821,4.190339739576821,0.04187889721778061,1,0
13,"(41.46172911226626, 2.2410549443084196)","(41.46421867656383, 2.2392932113284854)",28.3,314.2,11.102473498233214,66.322,79.162,0.04086570326952628,4.086570326952628,0.04084297738408342,1,0
14,"(41.46421867656383, 2.2392932113284854)","(41.465064, 2.238387)",17.0,120.9,7.111764705882353,79.162,82.508,0.027675770648359955,2.7675770648359954,0.027668707824279735,1,0
15,"(41.465064, 2.238387)","(41.4660312249762, 2.238698948784144)",24.5,143.2,5.844897959183673,82.508,88.82,0.04407818756955962,4.407818756955962,0.04404967449384478,0,0
16,"(41.4660312249762, 2.238698948784144)","(41.467942, 2.24225)",53.6,368.4,6.8731343283582085,88.82,90.045,0.003325185868949766,0.3325185868949766,0.0033251736136583484,1,0
17,"(41.467942, 2.24225)","(41.468972, 2.242223)",122.3,817.8,6.686835650040883,90.045,100.71,0.013041086959558993,1.3041086959558994,0.01304034773599094,0,0
18,"(41.468972, 2.242223)","(41.469742, 2.243274)",18.5,123.0,6.648648648648648,100.71,111.788,0.09006506446900407,9.006506446900406,0.08982271549634135,0,0
19,"(41.469742, 2.243274)","(41.471251610523964, 2.2436608586594042)",16.3,181.0,11.104294478527606,111.788,124.654,0.07108285809090124,7.108285809090124,0.07096349790048719,0,0
20,"(41.471251610523964, 2.2436608586594042)","(41.473082, 2.239689)",37.5,418.2,11.152,124.654,161.821,0.08887374418195727,8.887374418195728,0.08864085586425481,1,0
21,"(41.473082, 2.239689)","(41.473823, 2.2388)",14.9,124.5,8.355704697986576,161.821,168.867,0.056594419670870984,5.659441967087099,0.05653411289996641,0,0
22,"(41.473823, 2.2388)","(41.475441031261724, 2.2383170277407594)",17.2,190.7,11.087209302325581,168.867,173.801,0.025873049179421213,2.5873049179421215,0.02586727823087929,0,0
23,"(41.475441031261724, 2.2383170277407594)","(41.478376450022616, 2.2380461887374743)",50.8,340.7,6.706692913385827,173.801,190.68,0.04954211271715402,4.954211271715402,0.04950163990335161,1,0
24,"(41.478376450022616, 2.2380461887374743)","(41.47999310539932, 2.238384405265703)",27.7,185.2,6.6859205776173285,190.68,195.169,0.024238734729346654,2.4238734729346656,0.02423398951836543,1,0
25,"(41.47999310539932, 2.238384405265703)","(41.482711, 2.239041)",46.0,307.4,6.682608695652173,195.169,198.648,0.01131746469570897,1.131746469570897,0.011316981533657802,1,0
26,"(41.482711, 2.239041)","(41.48297823098797, 2.237924989149623)",20.2,109.0,5.396039603960396,198.648,201.421,0.025440461045011468,2.5440461045011467,0.025434974675258397,0,1
27,"(41.48297823098797, 2.237924989149623)","(41.482882, 2.237446)",17.2,113.8,6.616279069767442,201.421,201.649,0.0020034870489619946,0.20034870489619946,0.002003484368329255,1,0
28,"(41.482882, 2.237446)","(41.482807, 2.238914)",19.7,130.5,6.624365482233503,201.649,198.024,-0.027777777777777776,-2.7777777777777777,-0.027770636593421036,0,0
29,"(41.482807, 2.238914)","(41.48177761431729, 2.2387817301283035)",26.3,134.6,5.11787072243346,198.024,198.784,0.005646318772926728,0.5646318772926728,0.005646258770803566,0,0
30,"(41.48177761431729, 2.2387817301283035)","(41.48023407352979, 2.238366675586237)",26.2,175.1,6.683206106870229,198.784,196.724,-0.01176469193942747,-1.176469193942747,-0.011764149208762825,1,0
31,"(41.48023407352979, 2.238366675586237)","(41.4784223702771, 2.237886046816304)",30.8,205.8,6.681818181818182,196.724,189.822,-0.03353737997012421,-3.353737997012421,-0.03352481466061426,1,0
32,"(41.4784223702771, 2.237886046816304)","(41.477141, 2.238451)",84.4,533.8,6.324644549763033,189.822,184.102,-0.01071562611596689,-1.071562611596689,-0.0107152160049064,1,0
33,"(41.477141, 2.238451)","(41.475483, 2.238242)",84.5,547.9,6.484023668639053,184.102,174.033,-0.018377441584487363,-1.8377441584487362,-0.01837537313030327,0,0
34,"(41.475483, 2.238242)","(41.476257474080676, 2.2387624935326715)",50.1,198.6,3.964071856287425,174.033,173.406,-0.003157094165997923,-0.3157094165997923,-0.0031570836768851397,0,0
35,"(41.476257474080676, 2.2387624935326715)","(41.474026, 2.238668)",31.4,266.6,8.490445859872613,173.406,170.316,-0.011590441097823282,-1.1590441097823283,-0.011589922126172889,1,0
36,"(41.474026, 2.238668)","(41.473181, 2.239392)",23.0,197.5,8.58695652173913,170.316,163.813,-0.032926535304588604,-3.2926535304588604,-0.03291464386402431,0,0
37,"(41.473181, 2.239392)","(41.47117366734017, 2.2435513048676716)",44.3,461.3,10.413092550790068,163.813,124.658,-0.0848797017313926,-8.48797017313926,-0.08467673796303386,0,0
38,"(41.47117366734017, 2.2435513048676716)","(41.468972, 2.242223)",150.4,1110.1,7.380984042553191,124.658,100.71,-0.021572829517048014,-2.1572829517048016,-0.02156948387992923,1,0
39,"(41.468972, 2.242223)","(41.467336016089526, 2.2426936557964643)",27.9,234.3,8.397849462365592,100.71,83.306,-0.07428083366885736,-7.428083366885736,-0.07414466582523967,0,0
40,"(41.467336016089526, 2.2426936557964643)","(41.465431373679266, 2.2389914622880416)",56.1,375.7,6.696969696969696,83.306,83.428,0.0003247315622816576,0.03247315622816576,0.00032473155086728026,1,0
41,"(41.465431373679266, 2.2389914622880416)","(41.46389647345019, 2.2369009259747)",53.2,275.3,5.174812030075188,83.428,68.99,-0.05244461874333114,-5.244461874333114,-0.0523966160441585,1,0
